,Brand,Type,Material,color,From New Season,Manufacturing country,Description,Price
3205,Love Moschino,Messenger & Crossbody Bags,gold-tone hardware,black,,,,$105
3206,Chloé,Tote Bags,,,,,,"$1,036"
3207,Stella McCartney,Messenger & Crossbody Bags,debossed logo to the front,jet black,Conscious,Made in Italy,,$585
3208,Tory Burch,Shoulder Bags,lambskin,black,,,It's the signature details that elevate Tory Burch's designs. This black leather Fleming shoulder bag has an embossed finish and a logo detail for a recognisable look.,$713
3209,Tory Burch,Shoulder Bags,lambskin,cream,,,,$821
3210,Balenciaga,Shoulder Bags,lambskin/cotton,black/white/blue,Conscious,Made in Italy,,"$2,350"
3211,Love Moschino,Tote Bags,heart motif,black,,,,$99
3212,V°73,Shoulder Bags,pintuck detailing,black,,,,$100
3213,Coccinelle,Tote Bags,quilted finish,black,,,,$270
3214,Michael Michael Kors,Tote Bags,silver-tone hardware,dark red,,,,$201
3215,Missoni,Backpacks,cotton blend,asparagus green,,Made in Italy,,$172
3216,Kenzo,Backpacks,signature Tiger motif,light pink,New Season,,"Kenzo's signature Tiger motif is refreshed and reimagined for each new season. Here, an embroidered iteration of the brand-synonymous animal details the front of this mini backpack.",$226
3217,Versace Jeans Couture,Messenger & Crossbody Bags,quilted,lavender,,,"Following the brand's bold and colourful approach to accessories, this small crossbody bag from Versace Jeans Couture is included in the brand's AW22 collection in a lively purple iteration complete with refined gold-tone hardware.",$138
3218,Love Moschino,Messenger & Crossbody Bags,faux leather,black,,,,$166
3219,Themoirè,Shoulder Bags,high-shine finish,rose pink,Conscious,Made in Italy,,$162
3220,Jacquemus,Tote Bags,calf leather,ochre yellow,New Season,Made in Italy,"Jacquemus heralded the mini bag trend back in AW17 and has since become a key player in the luxury leather goods sphere. This Le Bambino Long bag is the newest addition to the Le Bambino family, designed in sleek, smooth calf leather and featuring the signature gold-tone branded plaque.",$640
3221,Chiara Ferragni,Messenger & Crossbody Bags,velvet effect,lilac purple,,,"Chiara Ferragni's playful Eyelike motif is embossed to the front of this velvet clutch bag from the AW22 for an instantly recognisable appeal. Paired with a lilac hue, the compact silhouette is given a cheerful finish. ",$201
3222,Diesel,Tote Bags,calf leather,black,New Season,,,$528
3223,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$2,100"
3224,Jimmy Choo,Clutch Bags,leather,teal blue/yellow,,Made in Italy,"A testament to Jimmy Choo's bold and innovative approach to garments, this turquoise iteration of the Varenna clutch features a terry-cloth effect throughout for a relaxed appeal and an embroidered logo in a lively shade of yellow.",$455
3225,Versace Jeans Couture,Shoulder Bags,faux leather,black/white/gold-tone,,,"The Logo Brush Couture print by Versace Jeans Couture combines the label's penchant for opulent motifs with its knack for contemporary styling. Baroque flourishes are complemented by graphic modern logo lettering, which in this shoulder bag are elevated by the gold-tone hardware.",$138
3226,Supreme,Belt Bags,signature box logo,red,New Season,,"Supreme is back with its iconic streetwear staples. This red-coloured small waist bag has a water-resistant construction divided into two compartments - one with a zipper and the other, on the inside, features a touch strap. A signature box logo decorates the front of the accessory. ",$135
3227,Karl Lagerfeld,Tote Bags,leather,black,,,"Presented in a timeless tote design, the K/Ikonik bag is so-called thanks to Karl Lagerfeld's signature logo plaque, decorating the black-hued leather construction.",$307
3228,Benedetta Bruzziches,Shoulder Bags,rectangle shape,dark brown,,Made in Italy,,$383
3229,Emporio Armani,Tote Bags,,,,,,$242
3230,Wandler,Tote Bags,calf leather,black,Conscious,Made in Italy,,$608
3231,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$1,550"
3232,Karl Lagerfeld,Tote Bags,artificial leather,fuchsia pink,,,,$128
3233,Emporio Armani,Messenger & Crossbody Bags,cotton,black,,,,$218
3234,JW Anderson,Tote Bags,all-over graphic print,khaki,,,"JW Anderson adds a creative edge to the brand's minimalist style in this tote bag from the AW22 collection. Featuring an all-over graphic print, the garment is punctuated with a tonal logo patch at the front which reiterates this refined approach. ",$437
3235,PINKO,Messenger & Crossbody Bags,,,,,,$566
3236,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$2,400"
3237,Saint Laurent,Shoulder Bags,calf leather,beige,,Made in Italy,No fuss no worries. This matte logo plaque shoulder bag from Saint Laurent has a minimal design which can go with about anything in your wardrobe. One less thing for you to think about.,"$3,200"
3238,Balenciaga,Shoulder Bags,bleached effect,blue,Conscious,Made in Italy,,"$1,200"
3239,Saint Laurent,Shoulder Bags,calf leather,black,New Season,Made in Italy,"Launched in 2021, Saint Laurent's 5 à 7 shoulder bag was designed by Anthony Vaccarello to showcase the brand's impeccable timeless style. The modern silhouette is imbued with retro influences, appearing here in black satin and simply adorned with the iconic YSL plaque in a polished gold tone.","$2,250"
3240,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$3,200"
3241,Marni,Shoulder Bags,calf leather,black,,Made in Italy,"Embossed with an elegant crocodile effect, this Marni shoulder bag is presented in shiny leather. The understated silhouette simply features a gold-tone lettering stamp on the front.","$1,157"
3242,Marc Jacobs,Tote Bags,leather,black,New Season,,"The smallest of the Marc Jacobs tote collection, the micro versio is designed to fit all phones and finished with a croc-like finish. Wear it with the crossbody strap or carry it by the looped handles. ",$498
3243,Patrizia Pepe,Shoulder Bags,gold-tone logo plaque,sand beige,,,"Patrizia Pepe's shoulder bag spotlights the power of understated design. Crafted from supple leather in a subtle pale sand hue, this spacious iteration is punctuated with a gold-tone chain-link shoulder strap and matching logo lettering.",$292
3244,Marc Jacobs,Shoulder Bags,leather,lilac purple,New Season,,"The Tote Bag has become one of Marc Jacobs’ most-loved styles since its debut in 2019. Updated in a violet-purple hue, it showcases the classic boxy silhouette reimagined in a mini size.",$498
3245,Coccinelle,Messenger & Crossbody Bags,calf leather,rose pink,,,,$324
3246,Ferragamo,Backpacks,calf leather,lipstick red,,Made in Italy,,"$1,081"
3247,Karl Lagerfeld,Shoulder Bags,charm detail,black,,,"Karl Lagerfeld's shoulder bag adds a playful twist to the classic duffle style. Made from smooth black leather, it's decorated with cube charms spelling out the brand founder's first name.",$182
3248,Love Moschino,Messenger & Crossbody Bags,gold-tone logo plaque,jet black,,,,$78
3249,See by Chloé,Messenger & Crossbody Bags,leather,motty grey,New Season,,"When it comes to youthful sophistication, nothing quite beats See by Chloé. Launched in the 2000s, the diffusion line is now synonymous with elegance, romanticism and carefree Parisian chic. The Hana shoulder bag sculpts a rounded rectangular body from motty grey calf leather, its panelled foldover top fastening with a magnetic closure, accented with the signature gold-tone ring hardware, charms, braided leather trim and front centre logo stamp. The design features a cotton-lined interior divided by a partition, finished with an internal zipped pocket, and carrying with a detachable and adjustable shoulder strap.",$366
3250,Stella McCartney,Tote Bags,faux-leather,tan brown,Conscious,Made in Italy,"Stella McCartney applies its signature perforated logo detail onto a new silhouette every season. Crafted from the brand's signature eco-conscious faux leather in tan brown, this Stella Logo tote bag presents the hallmark design on a softly-structured base.",$899
3251,Stella McCartney,Messenger & Crossbody Bags,,,Conscious,Made in Italy,,$593
3252,Dolce & Gabbana,Shoulder Bags,,,,Made in Italy,,"$1,770"
3253,Stella McCartney,Shoulder Bags,faux leather,platinum-tone,Conscious,Made in Italy,"Stella McCartney updates its signature diamond-cut chain detailing each season, refreshing the classic trim for new silhouettes. Crafted from the brand's faux leather in a metallic finish, this mini Frayme zipped shoulder bag is embellished with the chunky gold and silver-tone chain, interwoven with the trademark whipstitch detailing.","$1,499"
3254,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$3,550"
3255,Jacquemus,Tote Bags,calf leather,light brown,New Season,Made in Italy,"Recognised for its timeless rectangular silhouette, Jacquemus' Le Chiquito tote is reimagined in an array of colours and sizes each season. Here, this iteration arrives in a miniature size and is presented in a caramel brown hue for SS23.",$743
3256,Balenciaga,Tote Bags,lambskin,candy pink/black/white,Conscious,Made in Italy,"Balenciaga’s Barbes leather tote bag is inspired by the designer's fascination with consumer culture, designed to represent a classic barcode through its multicolour striped pattern. The minimalist style is characterised by its practical features such as top handles, adjustable detachable shoulder strap and subtly debossed logo lettering.",$746
3257,Jimmy Choo,Tote Bags,calf leather,black,,Made in Italy,"Jimmy Choo highlights the initials of the brand's founder with gold-tone hardware 'JC' detailing at the front of this tote bag. Paired with the sleek, tonal colourway of the accessory, the brand's signature sophisticated approach to design is also reflected.","$1,895"
3258,MACH & MACH,Mini Bags,bow detailing,light pink,,Made in Italy,"Founded by Nina and Gvantsa Macharashvili, MACH & MACH has a distinctively glamorous design style. Reflected on this mini bag, the accessory is shaped like a bow and decorated with crystal to celebrate the brand's signature motif.",$577
3259,Tommy Hilfiger,Tote Bags,faux leather,navy blue,,,,$158
3260,Jimmy Choo,Tote Bags,calf leather,black,,Made in Italy,"Jimmy Choo highlights the initials of the brand's founder with gold-tone hardware 'JC' detailing at the front of this tote bag. Paired with the sleek, tonal colourway of the accessory, the brand's signature sophisticated approach to design is also reflected.","$1,895"
3261,Tommy Hilfiger,Tote Bags,faux leather,navy blue,,,,$158
3262,Kate Spade,Tote Bags,calf leather,black,New Season,,,$452
3263,Versace,Tote Bags,leather,pink,,Made in Italy,"Looking to start your day on a bright note? Think pink with Versace's La Medusa small bag that not only brings bold pep to your outfit but also helps carry your wallet, phone, keys and mask with ease. A great companion to begin your morning with.","$2,038"
3264,Calvin Klein,Tote Bags,,,,,,$167
3265,Versace Jeans Couture,Tote Bags,gold-tone logo plaque,black,,,,$153
3266,MACH & MACH,Mini Bags,bow detailing,light pink,,Made in Italy,"Founded by Nina and Gvantsa Macharashvili, MACH & MACH has a distinctively glamorous design style. Reflected on this mini bag, the accessory is shaped like a bow and decorated with crystal to celebrate the brand's signature motif.",$577
3267,Furla,Tote Bags,calf leather/calf suede,dark brown,,,,$420
3268,Furla,Tote Bags,calf leather/calf suede,dark brown,,,,$420
3269,Themoirè,Messenger & Crossbody Bags,calf leather,turquoise,Conscious,Made in Italy,,$221
3270,Vivienne Westwood,Tote Bags,calf leather,black,New Season,Made in Italy,,$755
3271,Manu Atelier,Shoulder Bags,calf leather,mocha,New Season,,,$474
3272,Balenciaga,Messenger & Crossbody Bags,leather,neon green,Conscious,Made in Italy,,$840
3273,PINKO,Mini Bags,glitter detailing,gold-tone,New Season,,"Finished with an all-over glitter finish, this PINKO bag is finished with a fold-over top. This bag is embellished with the brand's signature Love Birds Diamond Cut buckle.",$234
3274,See by Chloé,Shoulder Bags,,,,,,$445
3275,Casablanca,Tote Bags,leather/canvas,sun yellow/white ,,Made in Italy,,$745
3276,A.P.C.,Shoulder Bags,,,,,,$279
3277,Balenciaga,Shoulder Bags,calf leather,light pink,Conscious,Made in Italy,,"$1,650"
3278,Maison Kitsuné,Tote Bags,cotton,ecru,New Season,,,$75
3279,SANDRO,Messenger & Crossbody Bags,foldover top,black,,,,$201
3280,Jacquemus,Tote Bags,calf suede,navy blue,New Season,Made in Italy,,$899
3281,DKNY,Messenger & Crossbody Bags,,,,,,$264
3282,DKNY,Messenger & Crossbody Bags,,,,,,$172
3283,DKNY,Messenger & Crossbody Bags,,,,,,$264
3284,Michael Michael Kors,Messenger & Crossbody Bags,calf leather/calf suede,cream white,,,,$234
3285,Coccinelle,Messenger & Crossbody Bags,calf leather,jet black,,,,$192
3286,Michael Michael Kors,Messenger & Crossbody Bags,calf leather,black/gold-tone,,,,$415
3287,PINKO,Mini Bags,glitter detailing,gold-tone,New Season,,"Finished with an all-over glitter finish, this PINKO bag is finished with a fold-over top. This bag is embellished with the brand's signature Love Birds Diamond Cut buckle.",$234
3288,Kate Spade,Tote Bags,calf leather,garnet rose red,,,,$281
3289,Lanvin,Shoulder Bags,lambskin,black,,Made in Italy,"Crafted from quilted lambskin in a black colourway, Lanvin's Happy MM shoulder bag is adorned with the brand's signature Mother and Child medallion in polished gold-tone hardware.","$2,426"
3290,BY FAR,Tote Bags,calf leather/cotton,jet black,,,,$399
3291,A.P.C.,Shoulder Bags,,,,,,$279
3292,Karl Lagerfeld Kids,Shoulder Bags,monogram print,black,,,,$275
3293,Michael Michael Kors,Messenger & Crossbody Bags,calf leather/calf suede,husk brown,,,,$273
3294,DKNY,Messenger & Crossbody Bags,,,,,,$264
3295,Michael Michael Kors,Messenger & Crossbody Bags,calf leather/calf suede,cream white,,,,$234
3296,Coccinelle,Messenger & Crossbody Bags,calf leather,jet black,,,,$192
3297,Michael Michael Kors,Tote Bags,,,,,,$428
3298,Michael Michael Kors,Messenger & Crossbody Bags,calf leather,black/gold-tone,,,,$415
3299,Kate Spade,Tote Bags,calf leather,garnet rose red,,,,$281
3300,MSGM,Tote Bags,embossed logo to the front,fluorescent green,,,,$205
3301,Karl Lagerfeld Kids,Shoulder Bags,monogram print,black,,,,$275
3302,Coccinelle,Tote Bags,calf leather,dark magenta,,,,$294
3303,Michael Michael Kors,Messenger & Crossbody Bags,calf leather/calf suede,husk brown,,,,$273
3304,Michael Michael Kors,Tote Bags,,,,,,$428
3305,Valentino Garavani,Tote Bags,leather,dark pink,,,"An oversize take on the iconic Rockstud, Valentino Garavani's Roman Stud has become a signature house motif. It adds an opulent touch to this quilted tote bag.","$2,582"
3306,MSGM,Tote Bags,embossed logo to the front,fluorescent green,,,,$205
3307,Furla,Tote Bags,calf leather,beige,,,,$379
3308,Chiara Ferragni,Shoulder Bags,faux leather,black/pink,,,,$312
3309,Jacquemus,Mini Bags,calf leather,orange,New Season,,,$788
3310,Tory Burch,Tote Bags,cotton,ivory white/brown,,,,$448
3311,Kara,Shoulder Bags,hand-stitched chainmail,silver-tone,,,,$443
3312,MSGM,Shoulder Bags,patent finish,black,,,,$187
3313,Manu Atelier,Shoulder Bags,calf leather,coffee brown,,,,$357
3314,Kara,Mini Bags,calf leather,black,,,,$558
3315,3.1 Phillip Lim,Messenger & Crossbody Bags,calf leather ,black ,,,"You might not understand Russian, but trust us Pashli is the only word you need to know. The meaning? Let's go! So probably this Pashli medium satchel bag from 3.1 Phillip Lim is sending you a message. Let's go?",$929
3316,Themoirè,Messenger & Crossbody Bags,brushed effect,marine blue,Conscious,Made in Italy,,$180
3317,Furla,Messenger & Crossbody Bags,leather,opal,,,"Furla's bag boasts a colourful disposition thanks to its opal chevron-quilted leather construction. Contrasting with the bold hue, branding remains simple in the form of a small logo plaque on the front.",$290
3318,Furla,Tote Bags,lambskin,pink,,,"Made from chevron-quilted leather in Italy, the Pop Star bag is included in Furla's AW22 collection in a punchy pink iteration that seamlessly evokes the brand's craftsmanship and contemporary approach to accessories.",$165
3319,See by Chloé,Shoulder Bags,calf leather,black,,,,$474
3320,GANNI,Tote Bags,recycled polyamide/recycled leather,pink/black,Conscious,,GANNI's mini Knot top-handle bag is made from recycled polyamide and recycled leather as part of the brand's efforts to minimise its carbon footprint. This pink iteration is fully lined and opens to several slots for your most-used cards.,$293
3321,Versace,Tote Bags,leather,black,,Made in Italy,"A testament to the brand's maximalist aesthetic, Versace's leather tote is punctuated by polished gold-tone hardware. Generously proportioned, it's topped with chain-link detailing at the front and the iconic La Medusa plaque that debuted on the door of the label's first-ever headquarters.","$1,918"
3322,ETRO,Shoulder Bags,calf leather,brown,,Made in Italy,,"$1,626"
3323,Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,black,,,"Founded by Gianni and Donatella Versace, Italian brand Versace Jeans Couture combines high fashion and street style for a youthful aesthetic. Crafted from faux leather, this crossbody bag is detailed with a logo plaque and spike stud embellishments. A detachable wrist strap and shoulder strap allows for multiple carry options.",$108
3324,Dolce & Gabbana,Tote Bags,calf leather,pink,,Made in Italy,,"$1,073"
3325,Valentino Garavani,Tote Bags,,,,Made in Italy,,"$3,053"
3326,Ferragamo,Tote Bags,calf leather,dark red,,Made in Italy,,"$2,873"
3327,Cult Gaia,Clutch Bags,pearlescent finish,ivory white,New Season,,,$378
3328,Emporio Armani,Tote Bags,faux leather,lead grey,,,,$285
3329,Versace Jeans Couture,Messenger & Crossbody Bags,gold-tone logo plaque,black,,,,$222
3330,Coach,Shoulder Bags,calf leather blend,light brown/red,,,,$277
3331,Gucci,Shoulder Bags,,,,Made in Italy,,"$2,405"
3332,MSGM,Belt Bags,faux leather,black,,,,$252
3333,Tory Burch,Shoulder Bags,calf suede,oak tree green,,,,$603
3334,Jacquemus,Shoulder Bags,calf leather,ivory white,,Made in Italy,"A larger iteration of one of their signature styles, Jacquemus' Le Bambinou amplifies the brand's penchant for minimal, structured handbags. Crafted from calf leather with a single shoulder strap, the design is adorned with gold-tone logo lettering to the front.","$1,086"
3335,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$2,950"
3336,BY FAR,Shoulder Bags,,,,,,$342
3337,Furla,Tote Bags,leather,grey,,,,$466
3338,GANNI,Mini Bags,recycled polyester blend,citron pale yellow,Conscious,,,$162
3339,Acne Studios,Tote Bags,cotton,black,New Season,Made in Italy,,$573
3340,Saint Laurent,Shoulder Bags,calf leather,beige,,Made in Italy,No fuss no worries. This matte logo plaque shoulder bag from Saint Laurent has a minimal design which can go with about anything in your wardrobe. One less thing for you to think about.,"$3,200"
3341,Balenciaga,Shoulder Bags,bleached effect,blue,Conscious,Made in Italy,,"$1,200"
3342,Saint Laurent,Shoulder Bags,calf leather,black,New Season,Made in Italy,"Launched in 2021, Saint Laurent's 5 à 7 shoulder bag was designed by Anthony Vaccarello to showcase the brand's impeccable timeless style. The modern silhouette is imbued with retro influences, appearing here in black satin and simply adorned with the iconic YSL plaque in a polished gold tone.","$2,250"
3343,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$3,200"
3344,Michael Michael Kors,Messenger & Crossbody Bags,leather,black,,,,$349
3345,Marni,Shoulder Bags,calf leather,black,,Made in Italy,"Embossed with an elegant crocodile effect, this Marni shoulder bag is presented in shiny leather. The understated silhouette simply features a gold-tone lettering stamp on the front.","$1,157"
3346,Marc Jacobs,Tote Bags,leather,black,New Season,,"The smallest of the Marc Jacobs tote collection, the micro versio is designed to fit all phones and finished with a croc-like finish. Wear it with the crossbody strap or carry it by the looped handles. ",$498
3347,Patrizia Pepe,Shoulder Bags,gold-tone logo plaque,sand beige,,,"Patrizia Pepe's shoulder bag spotlights the power of understated design. Crafted from supple leather in a subtle pale sand hue, this spacious iteration is punctuated with a gold-tone chain-link shoulder strap and matching logo lettering.",$292
3348,Marc Jacobs,Shoulder Bags,leather,lilac purple,New Season,,"The Tote Bag has become one of Marc Jacobs’ most-loved styles since its debut in 2019. Updated in a violet-purple hue, it showcases the classic boxy silhouette reimagined in a mini size.",$498
3349,Coccinelle,Messenger & Crossbody Bags,calf leather,rose pink,,,,$324
3350,Ferragamo,Backpacks,calf leather,lipstick red,,Made in Italy,,"$1,081"
3351,Karl Lagerfeld,Shoulder Bags,charm detail,black,,,"Karl Lagerfeld's shoulder bag adds a playful twist to the classic duffle style. Made from smooth black leather, it's decorated with cube charms spelling out the brand founder's first name.",$182
3352,MACH & MACH,Shoulder Bags,calf leather,rose pink,,Made in Italy,,$520
3353,Missoni,Bucket Bags,multicolour,fern green,,Made in Italy,,$141
3354,DKNY,Shoulder Bags,calf leather/canvas,brown/beige,New Season,,,$186
3355,Balenciaga,Shoulder Bags,,,Conscious,Made in Italy,,"$1,300"
3356,Love Moschino,Messenger & Crossbody Bags,faux leather,black,,,,$189
3357,DKNY,Tote Bags,calf leather,truffle brown,New Season,,,$256
3358,Kenzo,Tote Bags,calf leather,red,,,,$270
3359,Coccinelle,Messenger & Crossbody Bags,calf leather,light beige,,,,$324
3360,GANNI,Shoulder Bags,main compartment,jet black,New Season,,,$270
3361,Coach,Messenger & Crossbody Bags,calf leather,black,New Season,,,$285
3362,Karl Lagerfeld,Backpacks,logo print to the front,black,New Season,,,$220
3363,Chiara Ferragni,Tote Bags,velvet effect,lilac purple,,,,$201
3364,Coccinelle,Tote Bags,abstract pattern print,dark green,,,,$270
3365,Mulberry,Tote Bags,,,,,,"$2,065"
3366,LIU JO,Messenger & Crossbody Bags,faux leather,black,,,,$143
3367,Valentino Garavani,Shoulder Bags,leather,ivory white,,Made in Italy,"Arriving in a compact leather construction, Valentino Garavani's Locò bag stands out with the iconic VLogo plaque. Here displayed in a gold-tone, it creates a refined contrast with the ivory-hued background.","$2,417"
3368,MCM,Tote Bags,leather,cognac brown,New Season,,,$654
3369,A.P.C.,Messenger & Crossbody Bags,calf leather,taupe grey,New Season,,"A.P.C.'s minimalist yet statement approach to accessories punctuates the French brand's SS23 collection, as shown by this taupe grey iteration of the Grace bag. Made from smooth calf leather and elevated with refined gold-tone hardware, the accessory can be worn across the body or at the shoulder thanks to its adjustable strap.",$713
3370,Marc Jacobs,Tote Bags,,,,,,$655
3371,Balenciaga,Belt Bags,,,Conscious,Made in Italy,,"$1,600"
3372,Marc Jacobs,Tote Bags,cotton,blue,,,"Marc Jacobs' The Monogram tote champions the enduring logomania trend. Opening to a spacious interior, this blue denim iteration is emblazoned with the label's signature all over.",$550
3373,Balmain,Shoulder Bags,calf leather,black,New Season,,"From Balmain's B-Buzz collection, this calf-leather shoulder bag is imagined in a tonal black hue. This creates a timeless finish for the piece, whilst the signature logo plaque to the front adds an opulent twist.","$1,019"
3374,Balenciaga,Tote Bags,leather,geranium orange,Conscious,Made in Italy,,"$1,600"
3375,Michael Michael Kors,Mini Bags,leather,brown,,,,$301
3376,Coperni,Tote Bags,calf leather,light yellow,,Made in Italy,,$571
3377,Marc Jacobs,Tote Bags,leather,sage green,New Season,,"Designed for your everyday essentials, this tote features a zip top fastening with an adjustable shoulder strap. It is finished with signature Marc Jacobs branding to the front. ",$599
3378,Proenza Schouler White Label,Shoulder Bags,faux shearling,black,,,Proenza Schouler White Label exhibits a contemporary style with this tote bag for AW22. This design is characterised by a faux-shearling construction that reflects a modern aesthetic.,$446
3379,Love Moschino,Tote Bags,faux leather,taupe,,,,$256
3380,Balenciaga,Messenger & Crossbody Bags,calf leather,red,Conscious,Made in Italy,Good things come in (Balenciaga) packages. This Hourglass bag has been expertly crafted in Italy from shiny crocodile-embossed calf leather and is detailed with a logo plaque on the front. Small but mighty.,"$2,550"
3381,Love Moschino,Backpacks,gold-tone logo plaque,black,,,,$196
3382,GANNI,Mini Bags,recycled cotton blend,black,New Season,,"Crafted from a blend of recycled cotton with a soft bucket body, GANNI's black mini bag is simply adorned with silver-tone logo lettering to the front.",$198
3383,Saint Laurent,Tote Bags,canvas/leather,black/white,,Made in Italy,Understated tones create a refined look for this Rive Gauche shopping tote bag from Saint Laurent. Style is combined with function thanks to a spacious main compartment and leather handles.,"$1,890"
3384,3.1 Phillip Lim,Shoulder Bags,calf leather,aqua blue,,,"3.1 Phillip Lim presents a timeless silhouette with this shoulder bag for AW22. Crafted from calf leather, this design is decorated with engraved buckle detailing for a minimalist finish.",$538
3385,Coccinelle,Tote Bags,calf leather,olive green,,,,$456
3386,PINKO,Messenger & Crossbody Bags,,,,,"Boasting a pink hue, this PINKO bag is crafted from calf leather and decorated with an all-over debossed logo print. In addition, this cross-body bag is finished with the brand's signature Love Birds logo plaque. This recognisable silhouette gives this piece a timeless appeal. ",$346
3387,Furla,Messenger & Crossbody Bags,leather,jasper green,,,,$201
3388,Jimmy Choo,Tote Bags,leather,yellow,,Made in Italy,"So-called because of its potential for day-to-day use, Jimmy Choo's Nine2Five tote is an instantly recognisable style from the brand. Crafted from calf leather, this iteration of the bag is defined by its yellow terry texture and embossed logo on the front.",$875
3389,Ferragamo,Tote Bags,leather,rose pink,,Made in Italy,Gancini-embossed tote bag from Ferragamo.,"$1,524"
3390,ERL,Tote Bags,down-feather filling,rose pink/fuchsia pink/carrot orange,,,,$347
3391,PINKO,Messenger & Crossbody Bags,sheepskin,black,,,"Pinko draws inspiration from the past to design this understated crossbody bag. The slouchy silhouette is crafted in black leather, and complemented by a tonal Love Bird logo plaque and plastic chain-link strap for a contemporary touch.",$306
3392,Ferragamo,Tote Bags,leather,brown,,Made in Italy,"Made in Italy from smooth leather, this muted brown iteration of the Viva Bow tote seamlessly channels the house's craftsmanship and heritage. Adorned with a recognisable bow motif at the front, this accessory can be worn across the body, on the shoulder or handheld thanks to its adjustable strap.","$1,347"
3393,BY FAR,Tote Bags,bullhide leather,light olive green,,,"Showcasing a compact design, the Dolly tote bag exhibits BY FAR's '90s-inspired approach to accessories. Accented with silver-tone hardware, the miniature design is crafted in Bullhide leather with a subtly grained effect.",$325
3394,JW Anderson,Tote Bags,,,Conscious,,,$227
3395,GANNI,Tote Bags,,,New Season,,,$326
3396,GANNI,Tote Bags,,,New Season,,,$326
3397,Marine Serre,Shoulder Bags,leather,black,,,"MARINE SERRE's padded muff bag has a sleek, yet bold design. This bag is crafted from black leather featuring a transparent card slot at the front and a soft faux-fur lining.",$236
3398,Coccinelle,Tote Bags,calf leather,barley brown,,Made in Italy,,$302
3399,Saint Laurent,Backpacks,calf leather,cream,,Made in Italy,"Mixing a contemporary design with Saint Laurent's signature timeless style, the Joe backpack is crafted in a soft calf leather, with a soft drawstring top which is complemented by a structured bottom with a chevron quilting detail. Appearing in a gold-tone, the iconic YSL logo adorns the front flap pocket, for a design that is instantly recognisable as the brand's.","$2,850"
3400,GANNI,Shoulder Bags,recycled polyester blend,black,Conscious,,"So-called because of its soft, padded design, GANNI's medium Pillow shoulder bag is a compact accessory crafted from a recycled nylon blend. Silver-tone logo lettering adds a signature touch to the puffed-up piece.",$275
3401,Versace Jeans Couture,Shoulder Bags,gold-tone hardware,cloud white,New Season,,,$216
3402,See by Chloé,Shoulder Bags,,,,,No this isn't a dream. It's perfectly doable to have this Mara suede panel crossbody bag from See by Chloé in front of you if you let it. What do you say?,$522
3403,Coach,Shoulder Bags,calf leather,black,New Season,,"Made from smooth calf leather and elevated with a patent finish, Coach's Studio bag is decorated with a recognisable silver-tone plaque at the centre and benefits from two detachable and adjustable straps that allow it to be worn in multiple ways.",$413
3404,MSGM,Tote Bags,mirco-logo detailing,white,,,,$480
3405,Saint Laurent,Shoulder Bags,,,,Made in Italy,,"$1,690"
3406,Balenciaga,Tote Bags,metallic effect,silver,Conscious,Made in Italy,,"$1,300"
3407,Gucci,Bucket Bags,leather,light pink,New Season,Made in Italy,Gucci updates a signature code for this bucket bag. The iconic GG Supreme motif is reflected in tonal topstitching atop a smooth leather backdrop.,"$1,935"
3408,Furla,Tote Bags,leather,brown,,,,$362
3409,Jacquemus,Tote Bags,leather,white,New Season,Made in Italy,"Jacquemus released Le Chiquito in February 2019, a bag that took the mini purse trend to new heights and reached immediate cult status. Crafted from leather, this white version comes with a single top handle and detachable shoulder strap for multiple styling options.",$830
3410,Love Moschino,Messenger & Crossbody Bags,,,,,,$120
3411,Marc Jacobs,Shoulder Bags,leather,almond beige,New Season,,"Inspired by the early 2000s Marc Jacobs’ runway bags, this piece boasts a buttery soft leather construction with a slouchy profile and is complete with silver-tone hardware.",$493
3412,Stella McCartney,Mini Bags,crossbody strap,black,Conscious,Made in Italy,"Stella McCartney presents this compact iteration of the Frayme bag. Recognisable to the iconic Falabella, it revisits classic house codes. The mini bag has a chunky chain-link embellishment and the signature debossed logo charm. Showcasing a faux-leather strap, it can be worn crossbody or on the shoulder.",$508
3413,Marc Jacobs,Messenger & Crossbody Bags,leather,multicolour,New Season,,"The Snapshot crossbody bag is a hit-style for New York-based brand Marc Jacobs. Named after its camera bag silhouette, the piece is finished with a recognisable plaque to the front referencing the designer's famed initial.",$408
3414,Marc Jacobs,Tote Bags,cotton,red,,,"Marc Jacobs' The Tote bag is a house signature that's revisited each season. Instantly recognisable thanks to the logo patch to the front, this Americana iteration is presented in a red, white and blue colour scheme. As suggested by the name, it pays tribute to the brand's American heritage whilst allowing the contrasting branding to stand out.",$701
3415,Karl Lagerfeld,Tote Bags,calf leather,fuchsia pink,,,,$167
3416,Vivienne Westwood,Backpacks,calf leather,grey/black,Conscious,Made in Italy,,$863
3417,Coach,Messenger & Crossbody Bags,calf leather,coral red,New Season,,,$358
